,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0043,0,0,0,0,0,0.381208173,0,0,0,0,0,0,0,0.310657984,0,0,0,0,0,0,0,0
b0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0046,-0.126578778,-0.156159938,-0.255820454,-0.20035826,-0.126578778,-0.651194913,-0.315172779,-0.58238497,-0.067755625,0.146912879,0.219139525,0.37360233,0.143000554,0.13847987,0.232823456,0.123935158,0.160576765,0.206417258,-0.126578778,0.014149367,0.047482946,0.142583112
b0047,-0.036097857,-0.173714192,-0.252599906,-0.235909585,-0.036097857,-0.384466331,-0.446531401,-0.663505906,-0.127260221,0.126404368,0.148383567,0.422886816,0.103376598,0.092381587,-0.018110797,-0.01796174,-0.090764174,0.004251585,-0.036097857,0.063193755,-0.048423439,-0.19509822
b0048,-0.008573633,0.713500277,0.586007785,0.651079793,-0.008573633,-0.618564336,-0.674293418,-0.902817795,-0.479420252,0.358080439,-0.451935532,-0.147987421,0.173235629,-0.042198876,-0.332359541,-0.234191321,-0.371726016,-0.228882334,-0.008573633,0.160091442,-0.537747829,-0.81502975
b0049,-0.031788343,-0.167260584,-0.209081386,-0.119528591,-0.031788343,0.172672006,-0.246506115,-0.083347309,0.285570153,0.001693223,0.094152965,0.687416449,-0.273211501,0.101891605,0.093671806,0.149973292,0.067512096,0.066479962,-0.031788343,0.048465248,-0.385293729,-0.024784616
b0050,0.012396447,-0.200467959,-0.387679088,-0.338507148,0.012396447,-0.205871463,-0.502670614,-0.286913851,-0.06083094,0.220898305,-0.044966643,0.234023061,-0.055981169,-0.689323081,-0.258087646,-0.143463959,-0.309858273,-0.224559024,0.012396447,0.008304042,-0.414415855,-0.136520778
b0051,0.09486067,-0.153439427,-0.262410957,0.315055189,0.09486067,0.53873948,0.116339274,0.192399603,0.440161093,-0.335642465,0.098645019,0.830518084,-0.04384185,-1.044230078,0.051060455,0.331947361,0.315140482,0.111759571,0.09486067,0.275360955,-0.212808743,0.01428764
b0052,0.027470896,-0.274496343,-0.503792328,0.060727821,0.027470896,0.283697726,0.283183904,0.298928736,0.341899232,-0.319969964,0.377029292,0.62170932,-0.366579901,-0.892796411,0.237557275,0.449664399,0.440609712,0.27497305,0.027470896,0.162211408,-0.06010008,-0.015206641
b0053,0.014908561,-0.297485038,-0.476542502,-0.25429358,0.014908561,0.048287788,-0.035794444,-0.058238963,-0.14648075,-0.073791061,0.032392992,0.192064885,-0.212347266,0.059502453,0.029065379,0.215444899,0.111946629,0.016013904,0.014908561,0.019482171,-0.029281943,-0.042595082
b0054,0.022960794,-0.304881874,-0.40847746,-0.230653981,0.022960794,-0.027523661,-0.047683023,-0.144940065,-0.149556286,-0.022208256,-0.115367759,0.136655396,0.043558874,-0.216510307,-0.046674127,0.118987347,0.115266553,-0.104665092,0.022960794,-0.060168457,-0.215465488,-0.10271051
