,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0298,0.530514717,0.736965594,0.415037499,-0.169925001,0.353636955,0.473931188,0.152003093,-0.652076697,-1,-0.137503524,0,-0.485426827,-0.415037499,-0.283792966,-0.08246216,0.530514717,0.736965594
b0299,0.777607579,1,0.652076697,-0.222392421,0.362570079,0.514573173,0,-0.584962501,-0.584962501,-0.362570079,0,-0.321928095,-0.321928095,-0.152003093,0,0.192645078,0.514573173
b0301,0,9.869208251,0,0,0,0,9.869208251,0,0,0,9.869208251,0,0,0,0,0,9.869208251
b0303,0,1,0.584962501,-1,-1,0,0.584962501,0,-0.584962501,-1.584962501,0,0.415037499,0,-0.584962501,0,-1,1.321928095
b0304,0.289506617,-0.169925001,-0.362570079,-1.584962501,-2.169925001,-2.169925001,0.415037499,-0.874469118,-1.044394119,-0.722466024,-1.874469118,0.222392421,-0.263034406,-0.263034406,0,-0.847996907,0.289506617
b0305,0,0.584962501,0,-1,-1,-1,-1,-1.584962501,-0.584962501,0,0.736965594,-1.584962501,-0.584962501,-0.584962501,-1,0,0.584962501
b0306,0.263034406,0.485426827,0.263034406,0,0,0,0.485426827,-0.222392421,-0.807354922,0,0.652076697,-0.514573173,-0.321928095,-0.321928095,0.485426827,0.678071905,2.137503524
b0307,0.415037499,0.415037499,0.415037499,0,-0.584962501,-0.584962501,0,-0.736965594,-0.736965594,0,0.678071905,-0.415037499,-0.415037499,0.321928095,0.415037499,0.415037499,1.415037499
b0308,1,1,0,0,0,0,0,0,-1,0,1,0,0,1,1,1,2
b0310,9.869208251,9.869208251,9.869208251,0,0,0,0,0,0,0,9.869208251,0,0,0,0,0,9.869208251
b0311,1.321928095,1.62935662,1.392317423,0.554588852,-0.35614381,0.357552005,0.781359714,0.321928095,0.187627003,-0.169925001,0.896164189,-0.115477217,-0.793549123,-0.056583528,0.930737338,0.247927513,0.321928095
b0312,1.443281879,1.807354922,1.504231229,0.166649869,-0.464962725,0.043501639,0.519716476,0.1627295,-0.386609091,-0.451379346,0.825694513,-0.208814015,-0.835770604,0.050273206,0.958937343,0.126757142,0.186190056
b0313,1.751472838,1.906890596,1.929226926,-0.007694392,-0.197036847,0.007653573,0.382049087,0.012490944,-0.645817706,-0.636036685,-0.051074185,-0.06529146,-0.670431843,-0.025763096,0.829115441,0.124891248,0.265590111
b0314,1.234465254,1.179323699,1.371968777,-0.229481846,-0.502500341,-0.628031223,0,0.074000581,-0.389946518,-0.493040011,0.395928676,-0.184424571,-0.836501268,-0.251538767,1.021061616,-0.332575339,0
b0315,0.584962501,1.169925001,0.807354922,-1,-0.415037499,-1,0,-1.584962501,-1.584962501,0.584962501,1.502500341,-0.321928095,0,0,0.321928095,0.584962501,2.087462841
b0316,-0.304854582,-0.347923303,-0.485426827,0.099535674,0.033947332,0.131244533,-0.070389328,-0.366782331,-0.914270126,0.192645078,-0.122856748,-0.280107919,-0.212993723,0,-0.392317423,-0.182864057,0.415037499
b0317,0,0,0,0,0,0,0,0,0,9.869208251,0,0,0,0,0,0,0
b0318,0.321928095,0,0,-1,-1,-1,-0.415037499,-0.485426827,-1.222392421,-0.807354922,-0.807354922,-0.415037499,-0.415037499,0,0,-0.415037499,0.584962501
b0319,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2
b0320,0.584962501,1,0,-1,-1,-1,0,-0.584962501,-0.584962501,0,0.736965594,0,-1,0,0,0,1
b0321,1,1,1,0,0,0,1,0,-1,0.584962501,1,0,0,1,0,0,1.584962501
b0323,0,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1.584962501
b0324,0,-0.064130337,-0.201633861,0.120294234,-0.064130337,-0.275634443,0.061400545,-0.061400545,-0.192645078,0.058893689,-0.337034987,-0.067114196,-0.067114196,-0.137503524,0.120294234,-0.131244533,0.476438044
b0325,0.355828502,0.425091164,0.039801008,-1.205675026,-1.911943823,-2.252980741,0.223832956,-0.836899198,-1.275341301,-0.516962401,-0.183918274,0,-1,-0.106915204,0.134749412,-0.459431619,0.33198176
b0326,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.584962501
b0327,0.415037499,0.830074999,-0.169925001,-1.169925001,-0.169925001,-0.362570079,0,-0.847996907,-1.584962501,-0.08246216,1.530514717,-1.280107919,-0.765534746,-0.180572246,-0.169925001,0.289506617,1.637429921
b0328,0,1,0,1,0,1,0,0,0,0.584962501,0,-1,0,0,0,1,2.807354922
b0329,0.547502447,0.155922896,-0.725182768,-2.043663562,-3.362152572,-3.794468063,-0.49570769,-2.469779545,-3.021051833,-1.167515593,-0.037286531,-0.843645351,-2.144086838,0.013632354,-0.650308091,-1.095960958,0.395488772
b0330,1,0.514573173,0.777607579,-2.807354922,0,0,-1.807354922,-1,-2,-2.415037499,-0.540568381,-0.584962501,-1.584962501,0.415037499,0,-0.807354922,0.192645078
b0331,1.584962501,2.321928095,1,0,0,0,0,0,-1,0,0.584962501,0,0,0,0,0,0
b0333,9.869208251,9.869208251,0,0,0,9.869208251,0,0,0,0,0,0,0,0,0,9.869208251,9.869208251
b0334,1,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,0,0,1.584962501
b0335,9.869208251,0,0,9.869208251,0,9.869208251,9.869208251,0,0,0,1,0,0,0,0,9.869208251,9.869208251
b0336,-1.362570079,-1.362570079,-1,-0.362570079,-0.362570079,-1,-0.847996907,2.618909833,0.893084796,0,0,0,0.321928095,-0.415037499,0,-0.469485283,-0.362570079
b0337,-1.139274789,-1.261265313,-1.178803153,-0.198981035,-0.541373232,-0.973688723,-0.580543829,1.819717423,0.555697906,-0.20511443,-0.071258683,-0.053637964,0.214850872,-0.303616217,-0.282638964,-0.676302812,-0.490747159
b0338,0.169925001,0.321928095,0.247927513,0.459431619,-0.192645078,0,0.523561956,0.552541023,-0.321928095,0,0.093109404,0.392317423,0,0.087462841,0,-0.192645078,0.523561956
b0339,0.137503524,0,-0.152003093,-0.321928095,-0.514573173,-0.736965594,0,-0.584962501,-0.415037499,-0.415037499,0,0,-0.415037499,-0.415037499,0,-0.321928095,0.678071905
b0340,0,0.222392421,-0.263034406,0.222392421,0,-0.584962501,0.222392421,-0.847996907,-0.584962501,-0.584962501,-0.584962501,0.222392421,-0.263034406,0,0,0,0.874469118
b0341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
b0342,0.678071905,0.847996907,0.485426827,-0.736965594,-0.321928095,0.263034406,0.263034406,-1.169925001,-1.169925001,-0.169925001,-0.362570079,-0.736965594,0,0.263034406,0.263034406,0.263034406,1.263034406
